Name	SWScore	BitScore	E-value	SeqIndex
"sp|Q05186|RCN1_MOUSE Reticulocalbin-1 OS=Mus musculus OX=10090 GN=Rcn1 PE=1 SV=1"	61.0	44	0.00605	355844
"sp|Q057C9|RPOA_BUCCC DNA-directed RNA polymerase subunit alpha OS=Buchnera aphidicola subsp. Cinara cedri (strain Cc) OX=372461 GN=rpoA PE=3 SV=1"	61.0	44	0.00605	407676
"sp|O46491|CP7A1_PIG Cytochrome P450 7A1 OS=Sus scrofa OX=9823 GN=CYP7A1 PE=3 SV=1"	60.0	43	0.00708	79562
"sp|Q4P5J4|HSE1_MYCMD Class E vacuolar protein-sorting machinery protein HSE1 OS=Mycosarcoma maydis OX=5270 GN=HSE1 PE=3 SV=1"	60.0	43	0.00708	187839
"sp|Q4WVV6|MDM10_ASPFU Mitochondrial distribution and morphology protein 10 OS=Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) OX=330879 GN=mdmB PE=3 SV=1"	60.0	43	0.00708	240511
"sp|Q8R332|NUP58_MOUSE Nucleoporin p58/p45 OS=Mus musculus OX=10090 GN=Nup58 PE=1 SV=1"	60.0	43	0.00708	293005
"sp|B0Y240|MDM10_ASPFC Mitochondrial distribution and morphology protein 10 OS=Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10) OX=451804 GN=mdmB PE=3 SV=1"	59.0	43	0.00830	240509
"sp|Q1LTF3|RUVB_BAUCH Holliday junction branch migration complex subunit RuvB OS=Baumannia cicadellinicola subsp. Homalodisca coagulata OX=374463 GN=ruvB PE=3 SV=1"	59.0	43	0.00830	438574
"sp|P22680|CP7A1_HUMAN Cytochrome P450 7A1 OS=Homo sapiens OX=9606 GN=CYP7A1 PE=1 SV=2"	58.0	43	0.00971	79560
"sp|Q17WP6|TATB_HELAH Sec-independent protein translocase protein TatB OS=Helicobacter acinonychis (strain Sheeba) OX=382638 GN=tatB PE=3 SV=1"	58.0	43	0.00971	481826
"sp|Q50LG3|AFT91_ALTAL Highly reducing polyketide synthase AFT9-1 OS=Alternaria alternata OX=5599 GN=AFT9-1 PE=3 SV=1"	57.0	43	0.01137	12024
"sp|O67725|DPO3B_AQUAE Beta sliding clamp OS=Aquifex aeolicus (strain VF5) OX=224324 GN=dnaN PE=3 SV=1"	57.0	43	0.01137	109047
"sp|Q9P2D7|DYH1_HUMAN Dynein axonemal heavy chain 1 OS=Homo sapiens OX=9606 GN=DNAH1 PE=1 SV=6"	57.0	43	0.01137	114031
"sp|A2R3N6|MDM10_ASPNC Mitochondrial distribution and morphology protein 10 OS=Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513) OX=425011 GN=mdmB PE=3 SV=1"	57.0	43	0.01137	240512
"sp|G3XUF0|MLFA_ASPNA Malformin synthetase mlfA OS=Aspergillus niger (strain ATCC 1015 / CBS 113.46 / FGSC A1144 / LSHB Ac4 / NCTC 3858a / NRRL 328 / USDA 3528.7) OX=380704 GN=mlfA PE=1 SV=1"	57.0	43	0.01137	249556
"sp|A2QYX4|MLFA_ASPNC Malformin synthetase mlfA OS=Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513) OX=425011 GN=mlfA PE=1 SV=1"	57.0	43	0.01137	249558
"sp|P70581|NUP58_RAT Nucleoporin p58/p45 OS=Rattus norvegicus OX=10116 GN=Nup58 PE=1 SV=1"	57.0	43	0.01137	293006
"sp|E9Q7M2|T22D2_MOUSE TSC22 domain family protein 2 OS=Mus musculus OX=10090 GN=Tsc22d2 PE=1 SV=1"	57.0	43	0.01137	479356
"sp|P23644|TOM40_YEAST Mitochondrial import receptor subunit TOM40 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOM40 PE=1 SV=1"	57.0	43	0.01137	493909
"sp|Q56897|TRA8_YEREN Transposase for insertion sequence element IS1328 OS=Yersinia enterocolitica OX=630 PE=3 SV=1"	57.0	43	0.01137	496398
"sp|P47655|Y415_MYCGE Uncharacterized protein MG415 OS=Mycoplasma genitalium (strain ATCC 33530 / DSM 19775 / NCTC 10195 / G37) OX=243273 GN=MG415 PE=3 SV=2"	57.0	43	0.01137	546728
"sp|Q55G22|Y9597_DICDI Uncharacterized protein DDB_G0267862 OS=Dictyostelium discoideum OX=44689 GN=DDB_G0267862 PE=4 SV=1"	57.0	43	0.01137	552782
"sp|Q5E9B4|EI2BB_BOVIN Translation initiation factor eIF2B subunit beta OS=Bos taurus OX=9913 GN=EIF2B2 PE=2 SV=1"	56.0	42	0.01331	120512
"sp|Q6P4P2|LMD2B_DANRE G-protein coupled receptor-associated protein LMBRD2B OS=Danio rerio OX=7955 GN=lmbrd2b PE=2 SV=1"	56.0	42	0.01331	227161
"sp|P0ACE1|MBHM_ECO57 Hydrogenase-2 large chain OS=Escherichia coli O157:H7 OX=83334 GN=hybC PE=3 SV=2"	56.0	42	0.01331	238409
"sp|P0ACE0|MBHM_ECOLI Hydrogenase-2 large chain OS=Escherichia coli (strain K12) OX=83333 GN=hybC PE=1 SV=2"	56.0	42	0.01331	238410
"sp|P0ACE2|MBHM_SHIFL Hydrogenase-2 large chain OS=Shigella flexneri OX=623 GN=hybC PE=3 SV=2"	56.0	42	0.01331	238411
"sp|B8NM08|MDM10_ASPFN Mitochondrial distribution and morphology protein 10 OS=Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167) OX=332952 GN=mdmB PE=3 SV=1"	56.0	42	0.01331	240510
"sp|Q2U5V7|MDM10_ASPOR Mitochondrial distribution and morphology protein 10 OS=Aspergillus oryzae (strain ATCC 42149 / RIB 40) OX=510516 GN=mdmB PE=3 SV=1"	56.0	42	0.01331	240513
"sp|Q15293|RCN1_HUMAN Reticulocalbin-1 OS=Homo sapiens OX=9606 GN=RCN1 PE=1 SV=1"	56.0	42	0.01331	355843
"sp|Q1QWF8|RUVB_CHRSD Holliday junction branch migration complex subunit RuvB OS=Chromohalobacter salexigens (strain ATCC BAA-138 / DSM 3043 / CIP 106854 / NCIMB 13768 / 1H11) OX=290398 GN=ruvB PE=3 SV=1"	56.0	42	0.01331	438666
"sp|Q92736|RYR2_HUMAN Ryanodine receptor 2 OS=Homo sapiens OX=9606 GN=RYR2 PE=1 SV=3"	56.0	42	0.01331	439988
"sp|E9Q401|RYR2_MOUSE Ryanodine receptor 2 OS=Mus musculus OX=10090 GN=Ryr2 PE=1 SV=1"	56.0	42	0.01331	439989
"sp|B0LPN4|RYR2_RAT Ryanodine receptor 2 OS=Rattus norvegicus OX=10116 GN=Ryr2 PE=1 SV=3"	56.0	42	0.01331	439991
"sp|Q7NUP9|SDHD_CHRVO Probable D-serine dehydratase OS=Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / CCUG 213 / NBRC 12614 / NCIMB 9131 / NCTC 9757 / MK) OX=243365 GN=dsdA PE=3 SV=1"	56.0	42	0.01331	444848
"sp|Q2QRK9|SHT1_ORYSJ Spermidine hydroxycinnamoyltransferase 1 OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os12g27220 PE=3 SV=1"	56.0	42	0.01331	450777
"sp|Q658P3|STEA3_HUMAN Metalloreductase STEAP3 OS=Homo sapiens OX=9606 GN=STEAP3 PE=1 SV=2"	56.0	42	0.01331	462466
"sp|A8F523|SURE_PSELT 5'-nucleotidase SurE OS=Pseudothermotoga lettingae (strain ATCC BAA-301 / DSM 14385 / NBRC 107922 / TMO) OX=416591 GN=surE PE=3 SV=1"	56.0	42	0.01331	465206
"sp|Q0S2G8|SYE_RHOJR Glutamate--tRNA ligase OS=Rhodococcus jostii (strain RHA1) OX=101510 GN=gltX PE=3 SV=1"	56.0	42	0.01331	469066
"sp|Q5M0Y6|SYGA_STRT1 Glycine--tRNA ligase alpha subunit OS=Streptococcus thermophilus (strain CNRZ 1066) OX=299768 GN=glyQ PE=3 SV=1"	56.0	42	0.01331	470631
"sp|Q5M5H3|SYGA_STRT2 Glycine--tRNA ligase alpha subunit OS=Streptococcus thermophilus (strain ATCC BAA-250 / LMG 18311) OX=264199 GN=glyQ PE=3 SV=1"	56.0	42	0.01331	470632
"sp|Q03LV7|SYGA_STRTD Glycine--tRNA ligase alpha subunit OS=Streptococcus thermophilus (strain ATCC BAA-491 / LMD-9) OX=322159 GN=glyQ PE=3 SV=1"	56.0	42	0.01331	470633
"sp|Q9A1B9|Y358_STRP1 Uncharacterized membrane protein SPy_0358/M5005_Spy0301 OS=Streptococcus pyogenes serotype M1 OX=301447 GN=SPy_0358 PE=3 SV=1"	56.0	42	0.01331	545425
"sp|Q9K0G6|IXTPA_NEIMB dITP/XTP pyrophosphatase OS=Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58) OX=122586 GN=NMB0639 PE=3 SV=1"	55.0	42	0.01557	206683
"sp|A1DDI7|MDM10_NEOFI Mitochondrial distribution and morphology protein 10 OS=Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) OX=331117 GN=mdmB PE=3 SV=1"	55.0	42	0.01557	240536
"sp|Q9BVL2|NUP58_HUMAN Nucleoporin p58/p45 OS=Homo sapiens OX=9606 GN=NUP58 PE=1 SV=1"	55.0	42	0.01557	293004
"sp|Q3JES3|RUVB_NITOC Holliday junction branch migration complex subunit RuvB OS=Nitrosococcus oceani (strain ATCC 19707 / BCRC 17464 / JCM 30415 / NCIMB 11848 / C-107) OX=323261 GN=ruvB PE=3 SV=1"	55.0	42	0.01557	438903
"sp|Q1RHB9|SDHA_RICBR Succinate dehydrogenase flavoprotein subunit OS=Rickettsia bellii (strain RML369-C) OX=336407 GN=sdhA PE=3 SV=1"	55.0	42	0.01557	444763
"sp|Q99YI3|SYGA_STRP1 Glycine--tRNA ligase alpha subunit OS=Streptococcus pyogenes serotype M1 OX=301447 GN=glyQ PE=3 SV=1"	55.0	42	0.01557	470607
"sp|P0DG36|SYGA_STRP3 Glycine--tRNA ligase alpha subunit OS=Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315) OX=198466 GN=glyQ PE=3 SV=1"	55.0	42	0.01557	470609
"sp|Q5XAJ5|SYGA_STRP6 Glycine--tRNA ligase alpha subunit OS=Streptococcus pyogenes serotype M6 (strain ATCC BAA-946 / MGAS10394) OX=286636 GN=glyQ PE=3 SV=1"	55.0	42	0.01557	470611
"sp|Q8NZW6|SYGA_STRP8 Glycine--tRNA ligase alpha subunit OS=Streptococcus pyogenes serotype M18 (strain MGAS8232) OX=186103 GN=glyQ PE=3 SV=1"	55.0	42	0.01557	470613
"sp|Q1JAE8|SYGA_STRPB Glycine--tRNA ligase alpha subunit OS=Streptococcus pyogenes serotype M12 (strain MGAS2096) OX=370553 GN=glyQ PE=3 SV=1"	55.0	42	0.01557	470614
"sp|Q1JKJ9|SYGA_STRPC Glycine--tRNA ligase alpha subunit OS=Streptococcus pyogenes serotype M12 (strain MGAS9429) OX=370551 GN=glyQ PE=3 SV=1"	55.0	42	0.01557	470615
"sp|Q1JFJ0|SYGA_STRPD Glycine--tRNA ligase alpha subunit OS=Streptococcus pyogenes serotype M2 (strain MGAS10270) OX=370552 GN=glyQ PE=3 SV=1"	55.0	42	0.01557	470616
"sp|Q1J5E0|SYGA_STRPF Glycine--tRNA ligase alpha subunit OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=glyQ PE=3 SV=1"	55.0	42	0.01557	470617
"sp|A2RD23|SYGA_STRPG Glycine--tRNA ligase alpha subunit OS=Streptococcus pyogenes serotype M5 (strain Manfredo) OX=160491 GN=glyQ PE=3 SV=1"	55.0	42	0.01557	470618
"sp|Q48RX2|SYGA_STRPM Glycine--tRNA ligase alpha subunit OS=Streptococcus pyogenes serotype M28 (strain MGAS6180) OX=319701 GN=glyQ PE=3 SV=1"	55.0	42	0.01557	470621
"sp|P0DG37|SYGA_STRPQ Glycine--tRNA ligase alpha subunit OS=Streptococcus pyogenes serotype M3 (strain SSI-1) OX=193567 GN=glyQ PE=3 SV=1"	55.0	42	0.01557	470623
"sp|B5XMN0|SYGA_STRPZ Glycine--tRNA ligase alpha subunit OS=Streptococcus pyogenes serotype M49 (strain NZ131) OX=471876 GN=glyQ PE=3 SV=1"	55.0	42	0.01557	470625
"sp|P43832|SYR_HAEIN Arginine--tRNA ligase OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=argS PE=3 SV=1"	55.0	42	0.01557	475911
"sp|A6NFQ2|TCAF2_HUMAN TRPM8 channel-associated factor 2 OS=Homo sapiens OX=9606 GN=TCAF2 PE=1 SV=2"	55.0	42	0.01557	483240
"sp|Q12767|TMM94_HUMAN Transmembrane protein 94 OS=Homo sapiens OX=9606 GN=TMEM94 PE=1 SV=1"	55.0	42	0.01557	492788
"sp|P20107|ZRC1_YEAST Vacuolar zinc transporter ZRC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ZRC1 PE=1 SV=2"	55.0	42	0.01557	572681
"sp|Q9P2K1|C2D2A_HUMAN Coiled-coil and C2 domain-containing protein 2A OS=Homo sapiens OX=9606 GN=CC2D2A PE=1 SV=3"	54.0	42	0.01822	50298
"sp|E2RK30|PKHD1_CANLF Fibrocystin OS=Canis lupus familiaris OX=9615 GN=PKHD1 PE=3 SV=2"	54.0	42	0.01822	318586
"sp|O78413|RK1_GUITH Large ribosomal subunit protein uL1c OS=Guillardia theta OX=55529 GN=rpl1 PE=3 SV=1"	54.0	42	0.01822	368235
"sp|O33120|SYE_MYCLE Glutamate--tRNA ligase OS=Mycobacterium leprae (strain TN) OX=272631 GN=gltX PE=3 SV=1"	54.0	42	0.01822	468943
"sp|C1CLH5|SYGA_STRZP Glycine--tRNA ligase alpha subunit OS=Streptococcus pneumoniae (strain P1031) OX=488223 GN=glyQ PE=3 SV=1"	54.0	42	0.01822	470636
"sp|Q4QL12|SYR_HAEI8 Arginine--tRNA ligase OS=Haemophilus influenzae (strain 86-028NP) OX=281310 GN=argS PE=3 SV=1"	54.0	42	0.01822	475908
"sp|A5UCH1|SYR_HAEIE Arginine--tRNA ligase OS=Haemophilus influenzae (strain PittEE) OX=374930 GN=argS PE=3 SV=1"	54.0	42	0.01822	475909
"sp|P57851|SYR_PASMU Arginine--tRNA ligase OS=Pasteurella multocida (strain Pm70) OX=272843 GN=argS PE=3 SV=1"	54.0	42	0.01822	476086
"sp|A0A386JV86|TPS_NEZVI IDS-type sesquiterpene synthase OS=Nezara viridula OX=85310 GN=TPS PE=1 SV=1"	54.0	42	0.01822	496142
"sp|Q1QV50|URED_CHRSD Urease accessory protein UreD OS=Chromohalobacter salexigens (strain ATCC BAA-138 / DSM 3043 / CIP 106854 / NCIMB 13768 / 1H11) OX=290398 GN=ureD PE=3 SV=1"	54.0	42	0.01822	516800
"sp|P45919|YQBC_BACSU Uncharacterized protein YqbC OS=Bacillus subtilis (strain 168) OX=224308 GN=yqbC PE=4 SV=1"	54.0	42	0.01822	566941
"sp|B2GEY3|ADDB_LIMF3 ATP-dependent helicase/deoxyribonuclease subunit B OS=Limosilactobacillus fermentum (strain NBRC 3956 / LMG 18251) OX=334390 GN=rexB PE=3 SV=1"	53.0	42	0.02129	10570
"sp|P29466|CASP1_HUMAN Caspase-1 OS=Homo sapiens OX=9606 GN=CASP1 PE=1 SV=1"	53.0	42	0.02129	54978
"sp|Q93NG3|DHPH_PAENI 2,6-dihydroxypyridine 3-monooxygenase OS=Paenarthrobacter nicotinovorans OX=29320 GN=dhpH PE=1 SV=1"	53.0	42	0.02129	102490
"sp|Q97BG9|DNAJ_THEVO Chaperone protein DnaJ OS=Thermoplasma volcanium (strain ATCC 51530 / DSM 4299 / JCM 9571 / NBRC 15438 / GSS1) OX=273116 GN=dnaJ PE=3 SV=1"	53.0	42	0.02129	105873
"sp|P49770|EI2BB_HUMAN Translation initiation factor eIF2B subunit beta OS=Homo sapiens OX=9606 GN=EIF2B2 PE=1 SV=3"	53.0	42	0.02129	120514
"sp|Q28690|EI2BB_RABIT Translation initiation factor eIF2B subunit beta OS=Oryctolagus cuniculus OX=9986 GN=EIF2B2 PE=1 SV=1"	53.0	42	0.02129	120516
"sp|W7MLD7|FUS1_GIBM7 Fusarin C synthetase OS=Gibberella moniliformis (strain M3125 / FGSC 7600) OX=334819 GN=FUS1 PE=1 SV=1"	53.0	42	0.02129	145963
"sp|Q55EZ4|INT3_DICDI Integrator complex subunit 3 homolog OS=Dictyostelium discoideum OX=44689 GN=ints3 PE=3 SV=1"	53.0	42	0.02129	201176
"sp|A7FDF8|METAS_YERP3 Homoserine O-succinyltransferase OS=Yersinia pseudotuberculosis serotype O:1b (strain IP 31758) OX=349747 GN=metAS PE=3 SV=1"	53.0	42	0.02129	243671
"sp|Q1CC38|METAS_YERPA Homoserine O-succinyltransferase OS=Yersinia pestis bv. Antiqua (strain Antiqua) OX=360102 GN=metAS PE=3 SV=1"	53.0	42	0.02129	243672
"sp|B2K4Z5|METAS_YERPB Homoserine O-succinyltransferase OS=Yersinia pseudotuberculosis serotype IB (strain PB1/+) OX=502801 GN=metAS PE=3 SV=1"	53.0	42	0.02129	243673
"sp|Q8ZAR4|METAS_YERPE Homoserine O-succinyltransferase OS=Yersinia pestis OX=632 GN=metAS PE=3 SV=1"	53.0	42	0.02129	243674
"sp|A9R941|METAS_YERPG Homoserine O-succinyltransferase OS=Yersinia pestis bv. Antiqua (strain Angola) OX=349746 GN=metAS PE=3 SV=1"	53.0	42	0.02129	243675
"sp|Q1CNT5|METAS_YERPN Homoserine O-succinyltransferase OS=Yersinia pestis bv. Antiqua (strain Nepal516) OX=377628 GN=metAS PE=3 SV=1"	53.0	42	0.02129	243676
"sp|A4TH30|METAS_YERPP Homoserine O-succinyltransferase OS=Yersinia pestis (strain Pestoides F) OX=386656 GN=metAS PE=3 SV=1"	53.0	42	0.02129	243677
"sp|Q664W1|METAS_YERPS Homoserine O-succinyltransferase OS=Yersinia pseudotuberculosis serotype I (strain IP32953) OX=273123 GN=metAS PE=3 SV=1"	53.0	42	0.02129	243678
"sp|B1JJL9|METAS_YERPY Homoserine O-succinyltransferase OS=Yersinia pseudotuberculosis serotype O:3 (strain YPIII) OX=502800 GN=metAS PE=3 SV=1"	53.0	42	0.02129	243679
"sp|P07300|NS1_MUMIM Initiator protein NS1 OS=Murine minute virus (strain MVMi) OX=10795 GN=NS1 PE=3 SV=2"	53.0	42	0.02129	285369
"sp|V5NC32|PDH1_AGAXA Pyranose dehydrogenase OS=Agaricus xanthodermus OX=83518 GN=pdh1 PE=1 SV=1"	53.0	42	0.02129	307663
"sp|B0WAU8|PLK4_CULQU Serine/threonine-protein kinase PLK4 OS=Culex quinquefasciatus OX=7176 GN=SAK PE=3 SV=1"	53.0	42	0.02129	319538
"sp|P04025|POL_SRV1 Gag-Pro-Pol polyprotein OS=Simian retrovirus SRV-1 OX=11942 GN=pol PE=3 SV=2"	53.0	42	0.02129	323969
"sp|Q609L0|RUVB_METCA Holliday junction branch migration complex subunit RuvB OS=Methylococcus capsulatus (strain ATCC 33009 / NCIMB 11132 / Bath) OX=243233 GN=ruvB PE=3 SV=1"	53.0	42	0.02129	438862
"sp|Q5F8L2|RUVB_NEIG1 Holliday junction branch migration complex subunit RuvB OS=Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090) OX=242231 GN=ruvB PE=3 SV=1"	53.0	42	0.02129	438892
"sp|B4RLV8|RUVB_NEIG2 Holliday junction branch migration complex subunit RuvB OS=Neisseria gonorrhoeae (strain NCCP11945) OX=521006 GN=ruvB PE=3 SV=1"	53.0	42	0.02129	438893
"sp|A9LZC3|RUVB_NEIM0 Holliday junction branch migration complex subunit RuvB OS=Neisseria meningitidis serogroup C (strain 053442) OX=374833 GN=ruvB PE=3 SV=1"	53.0	42	0.02129	438894
"sp|Q9JUB0|RUVB_NEIMA Holliday junction branch migration complex subunit RuvB OS=Neisseria meningitidis serogroup A / serotype 4A (strain DSM 15465 / Z2491) OX=122587 GN=ruvB PE=3 SV=1"	53.0	42	0.02129	438895
"sp|Q9JZ86|RUVB_NEIMB Holliday junction branch migration complex subunit RuvB OS=Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58) OX=122586 GN=ruvB PE=3 SV=1"	53.0	42	0.02129	438896
"sp|A1KU52|RUVB_NEIMF Holliday junction branch migration complex subunit RuvB OS=Neisseria meningitidis serogroup C / serotype 2a (strain ATCC 700532 / DSM 15464 / FAM18) OX=272831 GN=ruvB PE=3 SV=1"	53.0	42	0.02129	438897
"sp|P30957|RYR2_RABIT Ryanodine receptor 2 OS=Oryctolagus cuniculus OX=9986 GN=RYR2 PE=1 SV=3"	53.0	42	0.02129	439990
"sp|Q8KE30|SAT_CHLTE Sulfate adenylyltransferase OS=Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS) OX=194439 GN=sat PE=3 SV=1"	53.0	42	0.02129	442267
"sp|B4SAM9|SAT_PELPB Sulfate adenylyltransferase OS=Pelodictyon phaeoclathratiforme (strain DSM 5477 / BU-1) OX=324925 GN=sat PE=3 SV=1"	53.0	42	0.02129	442292
"sp|B7K0B0|SYGA_RIPO1 Glycine--tRNA ligase alpha subunit OS=Rippkaea orientalis (strain PCC 8801 / RF-1) OX=41431 GN=glyQ PE=3 SV=1"	53.0	42	0.02129	470555
"sp|A2SPV6|SYI_METLZ Isoleucine--tRNA ligase OS=Methanocorpusculum labreanum (strain ATCC 43576 / DSM 4855 / Z) OX=410358 GN=ileS PE=3 SV=1"	53.0	42	0.02129	472169
"sp|Q7U9G9|SYI_PARMW Isoleucine--tRNA ligase OS=Parasynechococcus marenigrum (strain WH8102) OX=84588 GN=ileS PE=3 SV=1"	53.0	42	0.02129	472212
"sp|O94436|TAF14_SCHPO Transcription initiation factor TFIID subunit 14 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=tfg3 PE=1 SV=1"	53.0	42	0.02129	480270
"sp|P59217|TERL_BPSF5 Putative terminase large subunit OS=Shigella phage SfV OX=55884 GN=2 PE=3 SV=1"	53.0	42	0.02129	484739
"sp|Q5NQ36|TRPC_ZYMMO Indole-3-glycerol phosphate synthase OS=Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4) OX=264203 GN=trpC PE=3 SV=1"	53.0	42	0.02129	501567
"sp|Q24742|TRX_DROVI Histone-lysine N-methyltransferase trithorax OS=Drosophila virilis OX=7244 GN=trx PE=3 SV=1"	53.0	42	0.02129	504294
"sp|Q15904|VAS1_HUMAN V-type proton ATPase subunit S1 OS=Homo sapiens OX=9606 GN=ATP6AP1 PE=1 SV=2"	53.0	42	0.02129	520762
"sp|Q6CNR4|VPS10_KLULA Vacuolar protein sorting/targeting protein 10 OS=Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) OX=284590 GN=VPS10 PE=3 SV=1"	53.0	42	0.02129	526448
"sp|Q31KN8|Y2351_SYNE7 Putative nickel insertion protein OS=Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) OX=1140 GN=Synpcc7942_2351 PE=3 SV=1"	53.0	42	0.02129	541729
"sp|Q6PQQ3|AIL5_ARATH AP2-like ethylene-responsive transcription factor AIL5 OS=Arabidopsis thaliana OX=3702 GN=AIL5 PE=2 SV=2"	52.0	41	0.02488	13149
"sp|A2X1A1|ARFF_ORYSI Auxin response factor 6 OS=Oryza sativa subsp. indica OX=39946 GN=ARF6 PE=3 SV=1"	52.0	41	0.02488	22131
"sp|Q6H6V4|ARFF_ORYSJ Auxin response factor 6 OS=Oryza sativa subsp. japonica OX=39947 GN=ARF6 PE=1 SV=1"	52.0	41	0.02488	22132
"sp|W0TCD0|ATG2_KLUMD Autophagy-related protein 2 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=ATG2 PE=3 SV=1"	52.0	41	0.02488	32930
"sp|Q14K07|ATPG_FRAT1 ATP synthase gamma chain OS=Francisella tularensis subsp. tularensis (strain FSC 198) OX=393115 GN=atpG PE=3 SV=1"	52.0	41	0.02488	39430
"sp|A7NEH5|ATPG_FRATF ATP synthase gamma chain OS=Francisella tularensis subsp. holarctica (strain FTNF002-00 / FTA) OX=458234 GN=atpG PE=3 SV=2"	52.0	41	0.02488	39431
"sp|Q2A1I1|ATPG_FRATH ATP synthase gamma chain OS=Francisella tularensis subsp. holarctica (strain LVS) OX=376619 GN=atpG PE=3 SV=1"	52.0	41	0.02488	39432
"sp|B2SEY0|ATPG_FRATM ATP synthase gamma chain OS=Francisella tularensis subsp. mediasiatica (strain FSC147) OX=441952 GN=atpG PE=3 SV=1"	52.0	41	0.02488	39433
"sp|A0Q8E0|ATPG_FRATN ATP synthase gamma chain OS=Francisella tularensis subsp. novicida (strain U112) OX=401614 GN=atpG PE=3 SV=1"	52.0	41	0.02488	39434
"sp|Q0BK83|ATPG_FRATO ATP synthase gamma chain OS=Francisella tularensis subsp. holarctica (strain OSU18) OX=393011 GN=atpG PE=3 SV=1"	52.0	41	0.02488	39435
"sp|Q5NIK4|ATPG_FRATT ATP synthase gamma chain OS=Francisella tularensis subsp. tularensis (strain SCHU S4 / Schu 4) OX=177416 GN=atpG PE=3 SV=1"	52.0	41	0.02488	39436
